Sector,GDPContribution,GrowthRate,Year,Quarter,Source
Agriculture,24.5,5.2,2024,Q2,NISR National Accounts
Industry,18.3,6.8,2024,Q2,NISR National Accounts
Services,48.2,7.8,2024,Q2,NISR National Accounts
Manufacturing,9.1,8.2,2024,Q2,NISR National Accounts
Construction,7.9,5.9,2024,Q2,NISR National Accounts
Trade,12.4,7.1,2024,Q2,NISR National Accounts
ICT,4.8,12.5,2024,Q2,NISR National Accounts
Financial Services,8.6,6.4,2024,Q2,NISR National Accounts
Transport,6.2,5.8,2024,Q2,NISR National Accounts
Tourism,3.7,9.3,2024,Q2,NISR National Accounts
