List of Appendix,,Percentage of estimated agricultural households by type of main agricultural activity and district,,,,
District,Crop production (%),Livestock production (%),Both crop and livestock production (%),Total (%)
Nyarugenge,49.7,7.8,42.5,100
Gasabo,40.8,5.7,53.5,100
Kicukiro,45.9,13.4,40.7,100
Nyanza,25.0,1.7,73.3,100
Gisagara,19.9,0.6,79.6,100
Nyaruguru,9.6,,90.4,100
Huye,23.9,2.4,73.7,100
Nyamagabe,12.1,0.2,87.7,100
Ruhango,19.1,1.0,79.9,100
Muhanga,12.0,1.5,86.5,100
Kamonyi,22.7,2.1,75.2,100
Karongi,10.5,1.2,88.4,100
Rutsiro,16.1,2.6,81.3,100
Rubavu,35.6,10.3,54.2,100
Nyabihu,29.1,1.2,69.7,100
Ngororero,13.0,0.3,86.7,100
Rusizi,21.9,3.4,74.7,100
Nyamasheke,14.4,2.1,83.5,100
Rulindo,22.1,2.0,75.9,100
Gakenke,7.8,,92.1,100
Musanze,29.9,1.9,68.2,100
Burera,23.3,0.6,76.2,100
Gicumbi,14.4,0.5,85.2,100
Rwamagana,26.6,1.6,71.8,100
Nyagatare,33.2,0.7,66.1,100
Gatsibo,23.0,0.8,76.2,100
Kayonza,29.4,0.9,69.7,100
Kirehe,21.9,0.5,77.6,100
Ngoma,15.5,0.6,83.9,100
Bugesera,23.6,2.7,73.7,100
Rwanda,21.8,1.8,76.4,100
