List of Appendix,,"Percentage of agricultural households’ population by sex, age group and district"
District,Male <16 years (%),Male 16-30 years (%),Male 31-64 years (%),Male 65+ years (%),Male Total (%),Female <16 years (%),Female 16-30 years (%),Female 31-64 years (%),Female 65+ years (%),Female Total (%),Both <16 years (%),Both 16-30 years (%),Both 31-64 years (%),Both 65+ years (%),Both Total (%)
Nyarugenge,40.5,27.7,29.8,2.1,100,41.6,27.6,28.1,2.7,100,41.1,27.6,28.9,2.4,100
Gasabo,42.7,26.7,28.4,2.3,100,43.5,25.8,26.9,3.8,100,43.1,26.2,27.6,3.1,100
Kicukiro,39.6,28.2,29.8,2.5,100,39.9,30.1,26.6,3.3,100,39.8,29.2,28.1,2.9,100
Nyanza,49.5,19.0,27.1,4.4,100,43.7,20.9,29.8,5.6,100,46.5,20.0,28.5,5.0,100
Gisagara,48.6,23.3,25.1,3.0,100,44.9,20.7,30.9,3.5,100,46.6,21.9,28.2,3.3,100
Nyaruguru,47.5,23.9,25.0,3.6,100,45.8,21.8,27.8,4.7,100,46.6,22.8,26.4,4.2,100
Huye,43.8,24.8,28.1,3.2,100,40.2,23.4,32.2,4.3,100,41.9,24.1,30.2,3.8,100
Nyamagabe,43.6,24.0,28.6,3.8,100,39.2,26.9,28.9,5.0,100,41.2,25.6,28.8,4.4,100
Ruhango,47.7,21.2,27.2,3.9,100,40.3,23.2,31.2,5.3,100,43.8,22.3,29.3,4.6,100
Muhanga,43.1,25.9,27.8,3.2,100,40.9,21.1,32.0,6.1,100,41.9,23.3,30.1,4.7,100
Kamonyi,42.6,24.6,29.8,3.0,100,40.9,26.9,28.4,3.8,100,41.7,25.9,29.0,3.4,100
Karongi,49.2,24.1,23.9,2.8,100,38.7,24.4,31.5,5.5,100,43.9,24.3,27.7,4.1,100
Rutsiro,43.1,30.1,24.1,2.7,100,44.6,25.9,25.6,3.8,100,43.9,27.8,24.9,3.3,100
Rubavu,49.2,26.5,22.2,2.2,100,49.0,24.6,23.5,3.0,100,49.1,25.5,22.9,2.6,100
Nyabihu,47.0,26.4,24.7,1.9,100,44.5,25.7,26.4,3.4,100,45.6,26.0,25.6,2.7,100
Ngororero,49.9,22.6,24.5,3.0,100,46.3,23.9,25.3,4.5,100,47.9,23.3,24.9,3.8,100
Rusizi,46.7,26.0,23.8,3.5,100,40.4,30.0,25.9,3.8,100,43.5,28.0,24.9,3.7,100
Nyamasheke,48.4,24.9,23.6,3.1,100,44.3,22.7,27.3,5.7,100,46.3,23.8,25.5,4.5,100
Rulindo,45.1,22.4,27.8,4.7,100,43.0,22.6,29.2,5.2,100,44.0,22.5,28.5,5.0,100
Gakenke,45.5,24.1,26.3,4.1,100,39.6,23.8,30.7,6.0,100,42.4,23.9,28.6,5.1,100
Musanze,46.5,26.6,24.1,2.8,100,39.0,28.6,27.2,5.2,100,42.5,27.7,25.8,4.1,100
Burera,43.9,26.0,25.8,4.3,100,44.4,23.7,26.1,5.8,100,44.2,24.7,26.0,5.2,100
Gicumbi,44.8,25.4,25.8,4.1,100,38.9,26.4,28.9,5.8,100,41.7,25.9,27.4,5.0,100
Rwamagana,44.5,27.0,24.7,3.9,100,40.2,26.4,28.5,5.0,100,42.2,26.6,26.7,4.5,100
Nyagatare,47.8,26.3,23.0,2.9,100,46.3,25.5,25.1,3.1,100,47.0,25.9,24.1,3.0,100
Gatsibo,46.7,25.8,24.9,2.6,100,43.9,25.2,27.9,3.0,100,45.2,25.5,26.5,2.8,100
Kayonza,48.8,24.2,24.3,2.7,100,46.5,22.3,28.0,3.1,100,47.6,23.2,26.2,2.9,100
Kirehe,48.5,25.3,23.6,2.7,100,42.2,25.4,27.2,5.2,100,45.2,25.4,25.4,4.0,100
Ngoma,50.5,21.7,25.2,2.6,100,43.0,24.5,28.4,4.1,100,46.6,23.2,26.9,3.4,100
Bugesera,49.7,23.6,23.5,3.3,100,47.2,23.4,25.3,4.1,100,48.4,23.5,24.4,3.7,100
Rwanda,46.5,24.9,25.5,3.2,100,42.9,24.7,27.9,4.5,100,44.6,24.8,26.8,3.9,100
