List of Appendix,,"Percentage of agricultural households’ population aged from 16 years and above by sex, education and district"
District,Male_Primary (%),Male_Secondary (%),Male_Tertiary (%),Male_No_Education (%),Male_Total (%),Female_Primary (%),Female_Secondary (%),Female_Tertiary (%),Female_No_Education (%),Female_Total (%),Both_Primary (%),Both_Secondary (%),Both_Tertiary (%),Both_No_Education (%),Both_Total (%)
Nyarugenge,45.6,29.7,10.5,14.2,100,46.2,30.6,6.3,17.0,100,45.9,30.2,8.3,15.6,100
Gasabo,53.8,27.9,7.3,11.0,100,56.5,22.8,5.3,15.5,100,55.2,25.3,6.2,13.3,100
Kicukiro,46.1,32.3,12.2,9.4,100,47.1,29.7,11.3,11.9,100,46.6,31.0,11.7,10.7,100
Nyanza,53.6,19.1,2.1,25.2,100,49.1,15.5,1.7,33.7,100,51.2,17.2,1.9,29.8,100
Gisagara,62.1,8.2,0.5,29.2,100,56.6,7.8,0.5,35.1,100,59.1,8.0,0.5,32.4,100
Nyaruguru,61.9,14.0,1.0,23.1,100,50.6,11.9,0.5,36.9,100,56.0,12.9,0.7,30.3,100
Huye,63.7,17.0,2.2,17.1,100,60.2,18.0,2.0,19.8,100,61.8,17.5,2.1,18.5,100
Nyamagabe,58.6,14.3,2.6,24.5,100,54.5,15.7,1.9,27.9,100,56.2,15.1,2.2,26.5,100
Ruhango,55.1,12.7,2.3,29.9,100,55.9,14.9,1.9,27.3,100,55.5,13.9,2.1,28.4,100
Muhanga,61.6,17.9,1.4,19.1,100,63.3,14.8,0.7,21.1,100,62.6,16.2,1.0,20.2,100
Kamonyi,60.6,17.1,4.3,18.0,100,56.2,23.1,2.9,17.8,100,58.2,20.3,3.6,17.9,100
Karongi,56.7,18.2,1.5,23.6,100,52.8,18.2,0.1,28.8,100,54.6,18.2,0.8,26.5,100
Rutsiro,51.4,24.1,2.5,22.1,100,47.9,15.5,0.5,36.2,100,49.5,19.5,1.4,29.6,100
Rubavu,54.0,20.9,2.6,22.6,100,44.4,15.9,1.5,38.1,100,48.9,18.3,2.0,30.8,100
Nyabihu,59.4,22.0,2.8,15.9,100,53.6,18.6,0.5,27.4,100,56.1,20.1,1.5,22.3,100
Ngororero,57.1,11.9,0.5,30.4,100,44.1,11.9,0.3,43.8,100,49.7,11.9,0.4,38.0,100
Rusizi,68.3,15.8,1.5,14.5,100,60.6,17.1,1.3,21.0,100,64.1,16.5,1.4,18.0,100
Nyamasheke,52.8,23.7,3.5,20.0,100,52.9,18.0,1.0,28.1,100,52.8,20.6,2.1,24.4,100
Rulindo,65.3,11.8,2.5,20.4,100,62.4,14.7,1.1,21.9,100,63.7,13.4,1.7,21.2,100
Gakenke,62.7,17.2,1.5,18.6,100,53.2,14.6,2.5,29.7,100,57.5,15.8,2.0,24.7,100
Musanze,50.6,21.8,3.7,23.9,100,42.0,22.0,1.7,34.4,100,45.7,21.9,2.6,29.8,100
Burera,49.0,11.7,0.8,38.5,100,33.9,9.2,0.5,56.5,100,40.5,10.3,0.6,48.6,100
Gicumbi,64.3,17.3,1.9,16.6,100,52.9,18.9,0.7,27.6,100,57.9,18.2,1.2,22.7,100
Rwamagana,59.9,22.3,3.4,14.5,100,56.4,21.8,1.5,20.3,100,58.0,22.0,2.3,17.7,100
Nyagatare,57.2,21.0,2.1,19.8,100,54.5,16.5,1.0,28.1,100,55.7,18.6,1.5,24.2,100
Gatsibo,56.4,20.6,2.2,20.8,100,52.6,18.5,1.2,27.7,100,54.4,19.5,1.6,24.5,100
Kayonza,62.5,18.0,2.2,17.4,100,58.1,15.5,0.8,25.6,100,60.2,16.7,1.5,21.7,100
Kirehe,54.9,19.0,1.7,24.5,100,51.0,14.1,0.6,34.3,100,52.7,16.4,1.1,29.8,100
Ngoma,63.5,14.4,1.2,20.9,100,61.9,11.2,1.0,25.8,100,62.6,12.6,1.1,23.7,100
Bugesera,59.0,16.9,2.6,21.5,100,55.4,15.4,0.7,28.5,100,57.1,16.1,1.6,25.2,100
Rwanda,58.3,18.1,2.5,21.1,100,53.2,16.5,1.4,28.9,100,55.5,17.2,1.9,25.4,100
