List of Appendix,,Highest level of education attended by each agricultural household members aged 10 years and above by sex and district
District,Primary (Male %),Primary (Female %),Primary (Total %),Secondary (Male %),Secondary (Female %),Secondary (Total %),Tertiary (Male %),Tertiary (Female %),Tertiary (Total %),No education (Male %),No education (Female %),No education (Total %),Both Primary %,Both Secondary %,Both Tertiary %,Both No education %,Total (%)
Nyarugenge,47.1,52.9,100,46.5,53.5,100,60.7,39.3,100,43.7,56.3,100,52.2,27.8,6.8,13.2,100
Gasabo,49.4,50.6,100,52.1,47.9,100,57.1,42.9,100,41.4,58.6,100,60.1,23.4,5.1,11.5,100
Kicukiro,45.0,55.0,100,47.4,52.6,100,49.1,50.9,100,40.9,59.1,100,52.3,28.8,9.8,9.1,100
Nyanza,50.4,49.6,100,51.2,48.8,100,51.6,48.4,100,39.3,60.7,100,60.6,14.3,1.5,23.7,100
Gisagara,46.1,53.9,100,47.2,52.8,100,45.6,54.4,100,43.3,56.7,100,64.1,6.5,0.4,29.0,100
Nyaruguru,52.7,47.3,100,52.5,47.5,100,63.0,37.0,100,38.4,61.6,100,62.9,10.9,0.6,25.6,100
Huye,50.0,50.0,100,45.4,54.6,100,48.9,51.1,100,43.7,56.3,100,66.7,16.1,1.7,15.5,100
Nyamagabe,46.8,53.2,100,40.2,59.8,100,51.1,48.9,100,40.2,59.8,100,62.3,13.3,1.8,22.6,100
Ruhango,45.3,54.7,100,37.8,62.2,100,48.3,51.7,100,47.5,52.5,100,63.2,12.1,1.7,23.1,100
Muhanga,43.6,56.4,100,47.6,52.4,100,61.3,38.7,100,42.6,57.4,100,68.2,14.6,0.8,16.4,100
Kamonyi,47.6,52.4,100,38.8,61.2,100,55.9,44.1,100,47.2,52.8,100,63.3,18.8,2.9,15.0,100
Karongi,48.1,51.9,100,43.3,56.7,100,89.9,10.1,100,41.5,58.5,100,61.0,15.8,0.6,22.5,100
Rutsiro,46.9,53.1,100,57.1,42.9,100,82.3,17.7,100,35.9,64.1,100,59.4,16.1,1.1,23.5,100
Rubavu,50.7,49.3,100,51.9,48.1,100,60.2,39.8,100,37.3,62.7,100,57.3,15.5,1.6,25.6,100
Nyabihu,46.5,53.5,100,49.5,50.5,100,81.8,18.2,100,33.6,66.4,100,64.2,16.9,1.2,17.7,100
Ngororero,48.2,51.8,100,41.8,58.2,100,60.0,40.0,100,35.4,64.6,100,59.2,10.2,0.3,30.4,100
Rusizi,50.3,49.7,100,43.6,56.4,100,48.9,51.1,100,37.5,62.5,100,68.9,14.9,1.1,15.0,100
Nyamasheke,46.3,53.7,100,52.6,47.4,100,75.1,24.9,100,37.4,62.6,100,60.1,18.7,1.7,19.5,100
Rulindo,47.7,52.3,100,42.2,57.8,100,65.9,34.1,100,44.8,55.2,100,69.2,12.2,1.4,17.2,100
Gakenke,49.5,50.5,100,49.5,50.5,100,33.3,66.7,100,33.8,66.2,100,62.1,14.2,1.6,22.1,100
Musanze,47.6,52.4,100,43.8,56.2,100,63.3,36.7,100,36.7,63.3,100,51.3,19.8,2.0,26.9,100
Burera,49.8,50.2,100,49.5,50.5,100,58.3,41.7,100,36.5,63.5,100,41.5,8.2,0.5,49.8,100
Gicumbi,49.8,50.2,100,42.9,57.1,100,69.7,30.3,100,33.5,66.5,100,64.3,15.9,1.0,18.8,100
Rwamagana,49.0,51.0,100,46.1,53.9,100,65.9,34.1,100,38.0,62.0,100,63.0,19.9,1.9,15.2,100
Nyagatare,47.6,52.4,100,52.4,47.6,100,65.3,34.7,100,38.8,61.2,100,62.2,16.5,1.2,20.1,100
Gatsibo,49.3,50.7,100,48.5,51.5,100,60.9,39.1,100,40.1,59.9,100,61.9,16.8,1.3,20.0,100
Kayonza,49.0,51.0,100,48.5,51.5,100,69.7,30.3,100,37.6,62.4,100,66.8,14.6,1.1,17.5,100
Kirehe,48.8,51.2,100,52.4,47.6,100,70.1,29.9,100,37.7,62.3,100,61.2,14.0,0.9,24.0,100
Ngoma,47.7,52.3,100,49.8,50.2,100,47.9,52.1,100,41.0,59.0,100,69.0,10.8,0.9,19.3,100
Bugesera,48.2,51.8,100,48.4,51.6,100,77.5,22.5,100,41.1,58.9,100,64.2,13.5,1.2,21.1,100
Rwanda,48.2,51.8,100,47.5,52.5,100,59.7,40.3,100,39.0,61.0,100,61.9,15.1,1.5,21.5,100
