List of Appendix,,"Percentage of children from 6 to 10 years living in agricultural households, who attained schools by district",,,,,,
District,Children_6yrs (%),Children_7yrs (%),Children_8yrs (%),Children_9yrs (%),Children_10yrs (%),Overall_6to10yrs (%)
Nyarugenge,66.0,92.8,90.4,95.2,98.9,89.0
Gasabo,60.6,82.8,89.2,96.8,96.3,86.0
Kicukiro,90.7,88.5,100.0,100.0,96.6,95.6
Nyanza,55.1,71.4,95.4,87.9,93.5,80.7
Gisagara,25.0,58.2,92.6,79.0,94.7,72.7
Nyaruguru,37.7,58.1,87.7,90.9,90.6,74.9
Huye,66.8,75.7,89.9,92.6,95.9,84.5
Nyamagabe,55.3,88.0,94.2,96.7,97.3,85.3
Ruhango,59.9,77.5,92.2,100.0,100.0,86.5
Muhanga,85.5,99.4,100.0,100.0,99.6,96.1
Kamonyi,77.4,94.7,100.0,100.0,97.9,94.5
Karongi,63.5,88.6,96.0,99.6,97.1,90.7
Rutsiro,68.6,89.8,95.0,100.0,98.0,90.3
Rubavu,43.0,78.0,93.3,98.1,97.3,82.4
Nyabihu,64.1,88.1,93.9,97.8,96.9,89.0
Ngororero,56.9,91.2,96.8,100.0,100.0,90.2
Rusizi,38.0,81.8,98.4,98.7,100.0,81.2
Nyamasheke,70.2,88.0,97.6,95.7,100.0,89.8
Rulindo,74.8,92.3,97.4,99.6,91.4,91.4
Gakenke,85.5,100.0,100.0,100.0,100.0,97.5
Musanze,68.3,96.9,96.2,97.8,96.8,90.4
Burera,81.0,96.0,93.3,97.6,92.3,91.5
Gicumbi,85.4,93.2,94.5,97.4,93.7,93.3
Rwamagana,68.0,93.0,99.2,98.7,96.2,90.7
Nyagatare,53.6,81.2,84.3,93.9,92.1,82.0
Gatsibo,51.7,76.4,85.8,98.1,99.8,83.2
Kayonza,70.0,83.6,94.3,94.9,96.1,88.2
Kirehe,54.0,75.1,93.7,97.4,97.4,83.7
Ngoma,51.3,81.0,92.3,95.6,98.3,85.3
Bugesera,44.9,77.9,92.0,91.0,98.2,81.0
Rwanda,61.5,84.1,93.8,96.0,96.6,86.9
