List of Appendix,,Average size of agricultural households by sex of household head and district
District,Male headed,Female headed,Overall average size
Nyarugenge,4.6,3.6,4.4
Gasabo,4.9,3.6,4.6
Kicukiro,5.2,4.1,5.0
Nyanza,4.5,3.3,4.1
Gisagara,4.7,3.3,4.3
Nyaruguru,5.1,3.3,4.6
Huye,4.5,3.6,4.3
Nyamagabe,4.5,3.4,4.1
Ruhango,4.3,3.1,3.9
Muhanga,4.8,3.1,4.2
Kamonyi,4.8,3.8,4.5
Karongi,5.0,3.6,4.6
Rutsiro,5.3,3.6,4.8
Rubavu,5.5,3.4,5.0
Nyabihu,4.9,3.5,4.5
Ngororero,5.0,3.1,4.5
Rusizi,5.3,3.8,5.0
Nyamasheke,5.7,3.5,5.0
Rulindo,4.5,3.4,4.2
Gakenke,4.7,2.9,4.1
Musanze,5.0,3.3,4.5
Burera,4.9,3.0,4.4
Gicumbi,4.8,3.1,4.3
Rwamagana,4.5,3.8,4.3
Nyagatare,5.1,3.9,4.8
Gatsibo,4.9,3.7,4.6
Kayonza,5.0,3.6,4.6
Kirehe,4.9,3.5,4.5
Ngoma,4.7,3.5,4.4
Bugesera,4.8,3.8,4.6
Rwanda,4.9,3.4,4.5
Source,NISR AHS 2017,,
