List of Appendix,,Percentage of agricultural households by household size and district,,,,,,,
District,Mean numbers of HH persons,One person,Two persons,Three persons,Four persons,Five and above,Total
Nyarugenge,4.4,11.4,10.4,14.1,19.2,44.9,100
Gasabo,4.6,6.6,8.9,18.7,15.2,50.6,100
Kicukiro,5.0,6.8,6.4,13.3,17.1,56.4,100
Nyanza,4.1,12.6,11.8,14.5,17.1,43.9,100
Gisagara,4.3,8.2,11.4,19.4,17.7,43.3,100
Nyaruguru,4.6,3.5,9.8,24.6,14.1,48.0,100
Huye,4.3,6.3,9.4,18.6,23.0,42.6,100
Nyamagabe,4.1,7.1,13.6,22.1,17.0,41.9,100
Ruhango,3.9,12.8,13.4,14.9,23.0,35.9,100
Muhanga,4.2,5.9,12.2,22.7,22.3,36.9,100
Kamonyi,4.5,4.8,8.7,17.2,21.6,47.7,100
Karongi,4.6,3.4,16.3,13.1,15.4,51.8,100
Rutsiro,4.8,2.9,10.2,19.4,16.9,50.7,100
Rubavu,5.0,4.2,8.5,15.7,16.8,54.8,100
Nyabihu,4.5,5.2,12.0,17.8,17.7,47.4,100
Ngororero,4.5,4.3,13.4,14.6,20.2,47.4,100
Rusizi,5.0,6.4,7.9,14.2,15.9,55.6,100
Nyamasheke,5.0,5.3,11.9,17.1,9.8,55.9,100
Rulindo,4.2,6.0,10.2,20.5,23.2,40.1,100
Gakenke,4.1,9.7,12.6,20.1,20.1,37.5,100
Musanze,4.5,5.8,10.4,19.4,19.2,45.3,100
Burera,4.4,7.5,11.3,15.3,19.8,46.1,100
Gicumbi,4.3,6.3,12.6,18.1,22.2,40.7,100
Rwamagana,4.3,8.3,10.4,18.2,20.7,42.5,100
Nyagatare,4.8,5.1,9.9,17.0,17.6,50.4,100
Gatsibo,4.6,6.0,8.3,16.6,19.0,50.2,100
Kayonza,4.6,7.1,8.6,15.9,18.5,49.8,100
Kirehe,4.5,5.4,9.5,19.5,19.8,45.8,100
Ngoma,4.4,5.5,7.2,21.1,24.4,41.8,100
Bugesera,4.6,6.0,9.2,17.1,21.0,46.7,100
Rwanda,4.5,6.4,10.5,17.9,19.2,46.0,100
Source,NISR AHS 2017,,,,,,,
