Table 12: Distribution of farmers by sex, education level and province (in percentage)
Sex,Level of education,Kigali,South,West,North,East,Rwanda
Males,Primary,61.7,67.9,68.5,70.1,65.7,67.6
Males,Secondary,22.7,14.1,15,13,15.5,14.8
Males,University,5.3,1.8,2,2.5,2.2,2.2
Males,No education,10.3,16.2,14.5,14.4,16.6,15.4
Males,Total,100,100,100,100,100,100
Females,Primary,64.8,63.6,59.8,62.3,61.7,62
Females,Secondary,18.3,13.5,13.7,12.6,14,13.7
Females,University,3.5,1.4,1.1,0.9,1,1.2
Females,No education,13.5,21.5,25.4,24.3,23.3,23.2
Females,Total,100,100,100,100,100,100
Both males and females,Primary,63.4,65.5,63.6,65.6,63.5,64.5
Both males and females,Secondary,20.3,13.8,14.3,12.8,14.7,14.2
Both males and females,University,4.3,1.6,1.5,1.5,1.5,1.6
Both males and females,No education,12,19.2,20.6,20.2,20.3,19.8
Both males and females,Total,100,100,100,100,100,100
Total number of farmers (,000),,,126,1028,852,761,1065,3832
Source,NISR AHS 2020,,,,,,,
