Table 34: Percentage of agricultural households by type and source of extension services ,,,,,,,,,,,,,,,
Extension service,Government officials (District, Sector, Cell, village),Government extension workers (MINAGRI, NAEB, RAB),NGO/Company,Farmer Field School facilitator,Farmer /Livestock promoters,Media communication with agriculture technical information,Telephone (Message),Meeting/Community work,Friend or family,School,Suppliers (agro-dealer, veterinarian),Cooperative,Community health workers,Total,Number of Agricultural HH who received extension services
Agricultural practices,24.7,4.0,12.0,4.8,11.8,30.3,0.3,9.4,2.4,0.1,0.0,0.2,-,100.0,1294
Post-harvest handling & storage,19.4,5.4,10.8,5.0,8.6,34.5,0.4,12.7,2.4,0.4,0.0,0.4,-,100.0,338
Erosion control measures,30.8,2.3,4.6,4.7,10.3,22.3,0.3,22.7,1.5,0.6,-,-,-,100.0,628
Horticulture skills,18.9,2.8,9.4,10.8,22.3,19.8,0.3,11.2,3.6,0.9,-,0.0,-,100.0,359
Animal production and nutrition,24.4,3.8,6.6,2.9,7.7,36.3,0.1,12.7,4.5,1.2,0.0,-,-,100.0,204
Veterinary services,38.0,5.4,3.6,0.9,8.9,25.4,-,14.1,2.6,0.9,0.1,-,-,100.0,158
Agribusiness skills,9.4,5.3,11.2,5.5,10.0,41.0,-,9.6,6.0,1.1,-,0.9,-,100.0,143
Weather & climate information,1.6,0.8,0.5,0.8,2.0,85.0,1.6,1.5,5.1,1.0,-,0.2,-,100.0,277
Saving,26.6,0.5,4.0,2.7,2.0,31.5,0.9,25.4,4.9,1.1,0.0,0.2,0.1,100.0,444
Integrated pest management,13.5,4.0,12.4,5.3,18.3,31.6,0.1,11.0,2.6,0.7,0.2,0.3,-,100.0,311
Nutrition and food security,16.9,0.4,3.7,10.0,13.7,25.8,0.2,21.9,2.3,1.2,-,0.1,3.8,100.0,473
Smart nkunganire,11.7,3.6,15.2,4.2,17.6,34.3,1.6,8.8,2.1,-,0.5,0.6,-,100.0,318
Overall,21.2,3.0,8.4,5.1,11.4,32.3,0.5,14.0,2.9,0.6,0.1,0.2,0.4,100.0,
Source,NISR, AHS 2020
