Trade in Goods of Rwanda with  EAC
Flow,Partner,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,Share 2023Q1 (%),Share 2023Q2 (%),Share 2023Q3 (%),Share 2023Q4 (%),Share 2024Q1 (%),Share 2024Q2 (%),Share 2024Q3 (%),Share 2024Q4 (%),Share 2025Q1 (%),Share 2025Q2 (%)
Exports,Burundi,2.27,3.72,5.18,5.47,1.16,2.18,3.03,2.442,3.738,5.58,3.05,6.51,7.30,9.14,2.07,3.91,4.17,2.83,5.39,6.49
Exports,DRC,44.32,38.18,51.12,47.01,51.03,47.53,62.17,72.146,54.956,69.86,59.74,66.81,72.03,78.58,90.72,84.99,85.62,83.75,79.28,81.31
Exports,Kenya,0.94,1.18,1.03,0.82,0.87,1.63,0.78,0.501,0.866,0.83,1.26,2.06,1.46,1.38,1.54,2.91,1.07,0.58,1.25,0.96
Exports,Somalia,0.06,0.03,0.19,0.01,0.07,0.13,0.25,0.238,0.100,0.12,0.09,0.05,0.26,0.01,0.13,0.23,0.35,0.28,0.14,0.14
Exports,South Sudan,13.39,4.09,3.64,2.35,1.35,1.81,1.42,2.828,2.680,1.47,18.05,7.16,5.13,3.93,2.40,3.23,1.96,3.28,3.87,1.71
Exports,Tanzania,0.84,0.61,0.98,0.18,0.87,0.38,0.43,0.490,1.105,0.57,1.13,1.07,1.38,0.29,1.55,0.67,0.60,0.57,1.59,0.66
Exports,Uganda,12.36,9.34,8.83,3.99,0.90,2.27,4.53,7.504,5.878,7.49,16.67,16.34,12.44,6.67,1.59,4.06,6.24,8.71,8.48,8.71
Exports,EAC,74.18,57.15,70.97,59.82,56.24,55.92,72.61,86.15,69.32,85.91,100,100,100,100,100,100,100,100,100,100
Imports,Burundi,0.24,0.45,0.87,0.82,0.13,0.37,0.18,0.65,0.62,1.86,0.06,0.13,0.21,0.21,0.04,0.08,0.03,0.11,0.17,0.54
Imports,DRC,4.30,5.83,8.05,11.25,13.96,10.85,20.61,26.50,11.87,18.82,1.11,1.66,1.94,2.95,4.05,2.30,3.64,4.33,3.31,5.47
Imports,Kenya,122.36,110.69,127.01,70.64,99.54,245.08,215.21,211.22,135.35,78.17,31.56,31.54,30.61,18.52,28.86,51.97,37.95,34.49,37.78,22.70
Imports,Somalia,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
Imports,South Sudan,0.98,0,1.01,0.09,0,0.30,0.02,0.02,0,0.01,0.25,0,0.24,0.02,0,0.06,0,0,0,0
Imports,Tanzania,207.58,188.59,219.86,227.43,171.00,158.17,267.62,298.93,151.30,178.94,53.55,53.73,52.98,59.64,49.58,33.54,47.19,48.81,42.23,51.97
Imports,Uganda,52.19,45.43,58.19,71.12,60.24,56.84,63.43,75.13,59.14,66.50,13.46,12.94,14.02,18.65,17.47,12.05,11.19,12.27,16.51,19.32
Imports,EAC,387.65,350.99,414.99,381.36,344.87,471.62,567.09,612.46,358.28,344.30,100,100,100,100,100,100,100,100,100,100
Re-Exports,Burundi,2.24,2.19,4.04,3.50,4.14,2.31,1.63,1.26,0.39,0.61,1.49,1.49,2.48,2.26,2.50,1.45,0.92,0.75,0.31,0.45
Re-Exports,DRC,145.46,143.21,157.97,149.96,160.12,155.74,174.59,166.32,127.14,134.65,96.91,97.41,96.97,96.97,96.62,97.67,98.09,98.04,98.48,98.99
Re-Exports,Kenya,0.21,0.11,0.18,0.09,0.16,0.08,0.16,0.30,0.42,0.09,0.14,0.07,0.11,0.06,0.10,0.05,0.09,0.18,0.33,0.06
Re-Exports,Somalia,0.05,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0
Re-Exports,South Sudan,0.19,0.24,0.22,0.27,0.45,0.39,0.75,0.62,0.21,0.31,0.13,0.17,0.13,0.17,0.27,0.25,0.42,0.36,0.16,0.23
Re-Exports,Tanzania,0.06,0.03,0.09,0.06,0.03,0.29,0.05,0.02,0.12,0.08,0.04,0.02,0.05,0.04,0.02,0.18,0.03,0.01,0.09,0.06
Re-Exports,Uganda,1.88,1.23,0.41,0.77,0.83,0.64,0.80,1.12,0.83,0.29,1.25,0.84,0.25,0.50,0.50,0.40,0.45,0.66,0.64,0.21
Re-Exports,EAC,150.10,147.03,162.90,154.65,165.72,159.45,177.98,169.64,129.10,136.03,100,100,100,100,100,100,100,100,100,100
Source
