Top 20 destinations of re-exports of Rwanda in the year 2025, Quarter 2 (Values in US$ Million)
Destination,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,Share_Q2,Change_Q2_Q1,Change_Q2_Q2
Total Estimates,156.25,154.52,173.00,159.55,173.17,164.00,184.56,177.29,135.39,142.41,100.00,5.19%,-13.17%
Congo, The Democratic Republic Of,145.46,143.21,157.97,149.96,160.12,155.74,174.59,166.32,127.14,134.65,94.55,5.91%,-13.55%
Ethiopia,2.50,1.55,2.32,1.24,3.44,1.54,3.03,2.79,2.52,2.34,1.64,-7.29%,52.45%
United Arab Emirates,1.60,2.48,4.80,1.31,1.65,1.25,1.98,1.97,1.77,2.12,1.49,19.87%,69.05%
Burundi,2.24,2.19,4.04,3.50,4.14,2.31,1.63,1.26,0.39,0.61,0.43,54.68%,-73.52%
Germany,0.11,0.04,0.16,0.21,0.06,0.08,0.23,0.07,0.01,0.36,0.25,4346.79%,322.04%
Greece,0.07,0.14,0.33,0.17,0.22,0.07,0.11,0.16,0.19,0.36,0.25,91.79%,387.80%
South Sudan,0.19,0.24,0.22,0.27,0.45,0.39,0.75,0.62,0.21,0.31,0.22,48.95%,-21.70%
Sudan,0.00,0.02,0.00,0.00,0.12,0.00,0.00,0.02,0.00,0.30,0.21,0.00%,8197.67%
Turkey,0.36,0.34,0.21,0.20,0.41,0.20,0.25,0.19,0.25,0.30,0.21,17.22%,46.72%
Uganda,1.88,1.23,0.41,0.77,0.83,0.64,0.80,1.12,0.83,0.29,0.20,-65.07%,-54.88%
Egypt,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.11,0.00%,0.00%
Canada,0.06,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.10,0.07,7064.43%,0.00%
Kenya,0.21,0.11,0.18,0.09,0.16,0.08,0.16,0.30,0.42,0.09,0.06,-79.41%,11.30%
Tanzania, United Republic Of,0.06,0.03,0.09,0.06,0.03,0.29,0.05,0.02,0.12,0.08,0.06,-27.82%,-70.93%
Congo,0.15,0.01,0.00,0.01,0.11,0.00,0.00,0.01,0.06,0.08,0.05,27.19%,7483.31%
France,0.21,0.07,0.08,0.10,0.01,0.18,0.00,0.02,0.07,0.05,0.04,-25.62%,-70.19%
Zambia,0.63,0.43,0.63,0.00,0.53,0.35,0.28,0.90,0.65,0.05,0.04,-92.07%,-85.05%
United Kingdom,0.00,0.59,0.00,0.73,0.00,0.21,0.01,0.93,0.45,0.03,0.02,-93.65%,-86.49%
Belgium,0.14,0.07,0.21,0.08,0.06,0.10,0.16,0.26,0.02,0.03,0.02,13.82%,-73.18%
Malawi,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00%,0.00%
