Trade in Goods of Rwanda by Continents
Flow,Partner,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,Share_2023Q1,Share_2023Q2,Share_2023Q3,Share_2023Q4,Share_2024Q1,Share_2024Q2,Share_2024Q3,Share_2024Q4,Share_2025Q1,Share_2025Q2
Exports,WORLD,402.14,484.74,388.11,399.11,431.61,537.64,667.00,677.45,480.82,346.04,100,100,100,100,100,100,100,100,100,100
Exports,AFRICA,89.75,72.31,83.85,71.64,70.20,69.16,85.63,99.01,83.41,98.63,22.32,14.92,21.60,17.95,16.26,12.86,12.84,14.62,17.35,28.50
Exports,AMERICA,2.62,2.32,5.78,9.28,4.26,5.61,8.37,10.19,13.27,9.63,0.65,0.48,1.49,2.32,0.99,1.04,1.25,1.50,2.76,2.78
Exports,ASIA,271.54,375.24,265.52,270.73,322.59,420.28,512.36,513.36,345.31,175.25,67.52,77.41,68.41,67.83,74.74,78.17,76.82,75.78,71.82,50.64
Exports,EUROPE,37.87,34.83,32.35,46.76,34.56,42.52,59.91,53.96,38.71,61.37,9.42,7.19,8.34,11.72,8.01,7.91,8.98,7.97,8.05,17.73
Exports,OCEANIA,0.36,0.04,0.61,0.71,0.00,0.07,0.73,0.92,0.12,1.16,0.09,0.01,0.16,0.18,0.00,0.01,0.11,0.14,0.02,0.34
Imports,WORLD,1476.51,1571.09,1581.81,1486.93,1410.52,1568.97,1751.57,1629.39,1379.05,1247.39,100,100,100,100,100,100,100,100,100,100
Imports,AFRICA,511.63,584.69,532.06,549.84,543.02,645.29,861.65,778.74,463.56,408.12,34.65,37.22,33.64,36.98,38.50,41.13,49.19,47.79,33.61,32.72
Imports,AMERICA,31.28,24.32,36.29,55.59,51.98,51.15,45.64,38.34,66.65,47.46,2.12,1.55,2.29,3.74,3.69,3.26,2.61,2.35,4.83,3.80
Imports,ASIA,754.44,775.81,777.33,714.28,690.15,715.60,691.02,671.08,710.92,663.79,51.10,49.38,49.14,48.04,48.93,45.61,39.45,41.19,51.55,53.21
Imports,EUROPE,172.15,182.20,233.08,163.78,120.57,142.53,136.37,132.51,125.15,112.12,11.66,11.60,14.73,11.01,8.55,9.08,7.79,8.13,9.08,8.99
Imports,OCEANIA,7.01,4.06,3.06,3.45,4.81,14.41,16.90,8.73,12.77,15.90,0.47,0.26,0.19,0.23,0.34,0.92,0.96,0.54,0.93,1.27
Re-Exports,WORLD,156.25,154.52,173.00,159.55,173.17,164.00,184.56,177.29,135.39,142.41,100,100,100,100,100,100,100,100,100,100
Re-Exports,AFRICA,153.39,149.06,165.95,155.98,170.01,161.59,181.44,173.48,132.39,138.99,98.17,96.47,95.93,97.76,98.18,98.53,98.31,97.85,97.79,97.60
Re-Exports,AMERICA,0.30,0.14,0.10,0.25,0.13,0.15,0.13,0.04,0.09,0.12,0.19,0.09,0.06,0.16,0.07,0.09,0.07,0.02,0.07,0.08
Re-Exports,ASIA,1.69,3.76,5.97,1.84,2.27,1.42,2.19,2.14,1.86,2.17,1.08,2.43,3.45,1.15,1.31,0.87,1.19,1.21,1.37,1.53
Re-Exports,EUROPE,0.88,1.56,0.98,1.48,0.76,0.85,0.80,1.63,1.05,1.13,0.56,1.01,0.57,0.93,0.44,0.52,0.43,0.92,0.78,0.79
Re-Exports,OCEANIA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
