Table 96: City of Kigali population distribution by district and sector,,,,,,,
District,Sector,Total,Male,Female,Total (%),Male (%),Female (%)
City of Kigali,,1745555,888882,856673,100,50.9,49.1
Nyarugenge,,374319,195780,178539,100,52.3,47.7
Nyarugenge,Gitega,26668,13699,12969,100,51.4,48.6
Nyarugenge,Kanyinya,31026,15776,15250,100,50.8,49.2
Nyarugenge,Kigali,61499,32124,29375,100,52.2,47.8
Nyarugenge,Kimisagara,56534,28905,27629,100,51.1,48.9
Nyarugenge,Mageregere,59747,34038,25709,100,57,43
Nyarugenge,Muhima,22531,12286,10245,100,54.5,45.5
Nyarugenge,Nyakabanda,29580,14752,14828,100,49.9,50.1
Nyarugenge,Nyamirambo,55315,27838,27477,100,50.3,49.7
Nyarugenge,Nyarugenge,16665,8806,7859,100,52.8,47.2
Nyarugenge,Rwezamenyo,14754,7556,7198,100,51.2,48.8
Gasabo,,879505,443987,435518,100,50.5,49.5
Gasabo,Bumbogo,112899,56361,56538,100,49.9,50.1
Gasabo,Gatsata,46262,24146,22116,100,52.2,47.8
Gasabo,Gikomero,19630,9567,10063,100,48.7,51.3
Gasabo,Gisozi,75611,38995,36616,100,51.6,48.4
Gasabo,Jabana,63862,31600,32262,100,49.5,50.5
Gasabo,Jali,41156,20279,20877,100,49.3,50.7
Gasabo,Kacyiru,30036,15994,14042,100,53.2,46.8
Gasabo,Kimihurura,16425,8599,7826,100,52.4,47.6
Gasabo,Kimironko,61733,31721,30012,100,51.4,48.6
Gasabo,Kinyinya,125400,63081,62319,100,50.3,49.7
Gasabo,Ndera,95164,48058,47106,100,50.5,49.5
Gasabo,Nduba,68424,33609,34815,100,49.1,50.9
Gasabo,Remera,38648,20300,18348,100,52.5,47.5
Gasabo,Rusororo,61787,30812,30975,100,49.9,50.1
Gasabo,Rutunga,22468,10865,11603,100,48.4,51.6
Kicukiro,,491731,249115,242616,100,50.7,49.3
Kicukiro,Gahanga,79082,40127,38955,100,50.7,49.3
Kicukiro,Gatenga,67084,34465,32619,100,51.4,48.6
Kicukiro,Gikondo,19803,11383,8420,100,57.5,42.5
Kicukiro,Kagarama,21277,10839,10438,100,50.9,49.1
Kicukiro,Kanombe,72346,36321,36025,100,50.2,49.8
Kicukiro,Kicukiro,14039,7328,6711,100,52.2,47.8
Kicukiro,Kigarama,63153,32243,30910,100,51.1,48.9
Kicukiro,Masaka,78788,38739,40049,100,49.2,50.8
Kicukiro,Niboye,26912,13652,13260,100,50.7,49.3
Kicukiro,Nyarugunga,49247,24018,25229,100,48.8,51.2
