Table 97: Southern Province population distribution by district and sector,,,,,,,
Province,District,Sector,Total,Male,Female,Total (%),Male (%),Female (%)
Southern Province,Nyanza,,365718,178645,187073,100,48.8,51.2
Southern Province,Nyanza,Busasamana,50661,24292,26369,100,48,52
Southern Province,Nyanza,Busoro,39644,19054,20590,100,48.1,51.9
Southern Province,Nyanza,Cyabakamyi,23199,10989,12210,100,47.4,52.6
Southern Province,Nyanza,Kibilizi,40939,19705,21234,100,48.1,51.9
Southern Province,Nyanza,Kigoma,41004,19736,21268,100,48.1,51.9
Southern Province,Nyanza,Mukingo,45708,25312,20396,100,55.4,44.6
Southern Province,Nyanza,Muyira,42041,20085,21956,100,47.8,52.2
Southern Province,Nyanza,Ntyazo,33826,16202,17624,100,47.9,52.1
Southern Province,Nyanza,Nyagisozi,28092,13539,14553,100,48.2,51.8
Southern Province,Nyanza,Rwabicuma,20604,9731,10873,100,47.2,52.8
Southern Province,Gisagara,,397051,188965,208086,100,47.6,52.4
Southern Province,Gisagara,Gikonko,28772,13776,14996,100,47.9,52.1
Southern Province,Gisagara,Gishubi,31860,15366,16494,100,48.2,51.8
Southern Province,Gisagara,Kansi,22310,10465,11845,100,46.9,53.1
Southern Province,Gisagara,Kibirizi,31445,14806,16639,100,47.1,52.9
Southern Province,Gisagara,Kigembe,22488,10611,11877,100,47.2,52.8
Southern Province,Gisagara,Mamba,45283,21896,23387,100,48.4,51.6
Southern Province,Gisagara,Muganza,36530,17358,19172,100,47.5,52.5
Southern Province,Gisagara,Mugombwa,36469,17116,19353,100,46.9,53.1
Southern Province,Gisagara,Mukindo,32393,15621,16772,100,48.2,51.8
Southern Province,Gisagara,Musha,28762,13856,14906,100,48.2,51.8
Southern Province,Gisagara,Ndora,30171,14121,16050,100,46.8,53.2
Southern Province,Gisagara,Nyanza,19627,9281,10346,100,47.3,52.7
Southern Province,Gisagara,Save,30941,14692,16249,100,47.5,52.5
Southern Province,Nyaruguru,,318126,151980,166146,100,47.8,52.2
Southern Province,Nyaruguru,Busanze,29795,14369,15426,100,48.2,51.8
Southern Province,Nyaruguru,Cyahinda,24929,11952,12977,100,47.9,52.1
Southern Province,Nyaruguru,Kibeho,25885,12326,13559,100,47.6,52.4
Southern Province,Nyaruguru,Kivu,19812,9536,10276,100,48.1,51.9
Southern Province,Nyaruguru,Mata,16117,7780,8337,100,48.3,51.7
Southern Province,Nyaruguru,Muganza,21383,10201,11182,100,47.7,52.3
Southern Province,Nyaruguru,Munini,19760,9642,10118,100,48.8,51.2
Southern Province,Nyaruguru,Ngera,24242,11477,12765,100,47.3,52.7
Southern Province,Nyaruguru,Ngoma,24358,11514,12844,100,47.3,52.7
Southern Province,Nyaruguru,Nyabimata,18843,8850,9993,100,47,53
Southern Province,Nyaruguru,Nyagisozi,19674,9470,10204,100,48.1,51.9
Southern Province,Nyaruguru,Ruheru,27712,13095,14617,100,47.3,52.7
Southern Province,Nyaruguru,Ruramba,18705,8915,9790,100,47.7,52.3
Southern Province,Nyaruguru,Rusenge,26911,12853,14058,100,47.8,52.2
Southern Province,Huye,,381900,188859,193041,100,49.5,50.5
Southern Province,Huye,Gishamvu,14676,6931,7745,100,47.2,52.8
Southern Province,Huye,Huye,28232,13395,14837,100,47.4,52.6
Southern Province,Huye,Karama,18323,8597,9726,100,46.9,53.1
Southern Province,Huye,Kigoma,25455,12050,13405,100,47.3,52.7
Southern Province,Huye,Kinazi,33114,15708,17406,100,47.4,52.6
Southern Province,Huye,Maraba,26807,12850,13957,100,47.9,52.1
Southern Province,Huye,Mbazi,35807,17049,18758,100,47.6,52.4
Southern Province,Huye,Mukura,26340,12302,14038,100,46.7,53.3
Southern Province,Huye,Ngoma,35578,24499,11079,100,68.9,31.1
Southern Province,Huye,Ruhashya,24050,11369,12681,100,47.3,52.7
Southern Province,Huye,Rusatira,29842,14211,15631,100,47.6,52.4
Southern Province,Huye,Rwaniro,23239,11058,12181,100,47.6,52.4
Southern Province,Huye,Simbi,23284,11053,12231,100,47.5,52.5
Southern Province,Huye,Tumba,37153,17787,19366,100,47.9,52.1
Southern Province,Nyamagabe,,371501,176725,194776,100,47.6,52.4
Southern Province,Nyamagabe,Buruhukiro,27146,12955,14191,100,47.7,52.3
Southern Province,Nyamagabe,Cyanika,25693,12252,13441,100,47.7,52.3
Southern Province,Nyamagabe,Gasaka,41558,19489,22069,100,46.9,53.1
Southern Province,Nyamagabe,Gatare,19151,9781,9370,100,51.1,48.9
Southern Province,Nyamagabe,Kaduha,22898,10979,11919,100,47.9,52.1
Southern Province,Nyamagabe,Kamegeri,14400,6782,7618,100,47.1,52.9
Southern Province,Nyamagabe,Kibirizi,23287,11185,12102,100,48,52
Southern Province,Nyamagabe,Kibumbwe,13767,6461,7306,100,46.9,53.1
Southern Province,Nyamagabe,Kitabi,28172,13342,14830,100,47.4,52.6
Southern Province,Nyamagabe,Mbazi,12511,5929,6582,100,47.4,52.6
Southern Province,Nyamagabe,Mugano,19738,9412,10326,100,47.7,52.3
Southern Province,Nyamagabe,Musange,20345,9885,10460,100,48.6,51.4
Southern Province,Nyamagabe,Musebeya,20416,9551,10865,100,46.8,53.2
Southern Province,Nyamagabe,Mushubi,13972,6524,7448,100,46.7,53.3
Southern Province,Nyamagabe,Nkomane,18012,8411,9601,100,46.7,53.3
Southern Province,Nyamagabe,Tare,24561,11694,12867,100,47.6,52.4
Southern Province,Nyamagabe,Uwinkingi,25874,12093,13781,100,46.7,53.3
Southern Province,Ruhango,,359121,172096,187025,100,47.9,52.1
Southern Province,Ruhango,Bweramana,31152,15026,16126,100,48.2,51.8
Southern Province,Ruhango,Byimana,40046,19113,20933,100,47.7,52.3
Southern Province,Ruhango,Kabagali,25602,12022,13580,100,47,53
Southern Province,Ruhango,Kinazi,51016,24457,26559,100,47.9,52.1
Southern Province,Ruhango,Kinihira,25932,12281,13651,100,47.4,52.6
Southern Province,Ruhango,Mbuye,45747,22111,23636,100,48.3,51.7
Southern Province,Ruhango,Mwendo,25908,12485,13423,100,48.2,51.8
Southern Province,Ruhango,Ntongwe,38100,18275,19825,100,48,52
Southern Province,Ruhango,Ruhango,75618,36326,39292,100,48,52
Southern Province,Muhanga,,358433,173615,184818,100,48.4,51.6
Southern Province,Muhanga,Cyeza,34540,16410,18130,100,47.5,52.5
Southern Province,Muhanga,Kabacuzi,28192,13427,14765,100,47.6,52.4
Southern Province,Muhanga,Kibangu,20326,9612,10714,100,47.3,52.7
Southern Province,Muhanga,Kiyumba,23364,11009,12355,100,47.1,52.9
Southern Province,Muhanga,Muhanga,28700,13742,14958,100,47.9,52.1
Southern Province,Muhanga,Mushishiro,21071,9909,11162,100,47,53
Southern Province,Muhanga,Nyabinoni,16253,7640,8613,100,47,53
Southern Province,Muhanga,Nyamabuye,59961,28810,31151,100,48,52
Southern Province,Muhanga,Nyarusange,28308,13585,14723,100,48,52
Southern Province,Muhanga,Rongi,29389,13894,15495,100,47.3,52.7
Southern Province,Muhanga,Rugendabari,17363,8170,9193,100,47.1,52.9
Southern Province,Muhanga,Shyogwe,50966,27407,23559,100,53.8,46.2
Southern Province,Kamonyi,,450849,217570,233279,100,48.3,51.7
Southern Province,Kamonyi,Gacurabwenge,36859,17625,19234,100,47.8,52.2
Southern Province,Kamonyi,Karama,20879,9926,10953,100,47.5,52.5
Southern Province,Kamonyi,Kayenzi,25209,12289,12920,100,48.7,51.3
Southern Province,Kamonyi,Kayumbu,17106,8262,8844,100,48.3,51.7
Southern Province,Kamonyi,Mugina,45894,21913,23981,100,47.7,52.3
Southern Province,Kamonyi,Musambira,42198,20013,22185,100,47.4,52.6
Southern Province,Kamonyi,Ngamba,16416,7991,8425,100,48.7,51.3
Southern Province,Kamonyi,Nyamiyaga,45645,21804,23841,100,47.8,52.2
Southern Province,Kamonyi,Nyarubaka,28225,13363,14862,100,47.3,52.7
Southern Province,Kamonyi,Rugarika,59952,29280,30672,100,48.8,51.2
Southern Province,Kamonyi,Rukoma,39688,19409,20279,100,48.9,51.1
Southern Province,Kamonyi,Runda,72778,35695,37083,100,49,51
